iter	Passed	Remaining
0	143	143057
1	144	71864
2	144	48078
3	145	36179
4	145	29009
5	146	24226
6	146	20805
7	147	18243
8	147	16250
9	148	14653
10	148	13352
11	148	12266
12	149	11346
13	149	10559
14	150	9875
15	150	9277
16	151	8747
17	151	8275
18	152	7856
19	152	7479
20	153	7137
21	153	6826
22	154	6542
23	154	6280
24	154	6040
25	155	5818
26	155	5613
27	156	5422
28	156	5245
29	157	5078
30	157	4923
31	157	4778
32	158	4642
33	158	4513
34	159	4393
35	159	4278
36	160	4171
37	160	4068
38	161	3971
39	161	3878
40	162	3790
41	162	3708
42	163	3628
43	163	3551
44	163	3478
45	164	3408
46	164	3341
47	165	3277
48	165	3216
49	166	3157
50	166	3100
51	167	3045
52	167	2992
53	167	2941
54	168	2892
55	168	2845
56	169	2799
57	169	2755
58	170	2713
59	170	2672
60	171	2632
61	171	2593
62	171	2556
63	172	2519
64	172	2484
65	173	2450
66	173	2417
67	173	2382
68	174	2351
69	174	2320
70	175	2291
71	175	2263
72	176	2235
73	176	2208
74	177	2184
75	177	2158
76	178	2133
77	178	2109
78	178	2085
79	179	2062
80	179	2039
81	180	2016
82	180	1995
83	181	1974
84	181	1952
85	181	1932
86	182	1911
87	182	1892
88	183	1873
89	183	1855
90	183	1837
91	184	1819
92	184	1802
93	185	1785
94	185	1769
95	186	1752
96	186	1736
97	186	1721
98	187	1705
99	187	1691
100	188	1676
101	188	1660
102	189	1646
103	189	1632
104	189	1618
105	190	1604
106	190	1591
107	191	1578
108	191	1567
109	192	1555
110	192	1543
111	193	1531
112	193	1519
113	193	1507
114	194	1496
115	194	1484
116	195	1473
117	195	1462
118	196	1451
119	196	1441
120	196	1430
121	197	1420
122	197	1408
123	198	1398
124	198	1389
125	198	1379
126	199	1370
127	199	1360
128	200	1350
129	200	1342
130	200	1333
131	201	1324
132	201	1315
133	202	1307
134	202	1298
135	203	1290
136	203	1282
137	203	1273
138	204	1266
139	204	1258
140	205	1251
141	205	1243
142	206	1236
143	206	1228
144	207	1221
145	207	1214
146	208	1207
147	208	1200
148	208	1193
149	209	1186
150	209	1179
151	210	1173
152	210	1166
153	211	1160
154	211	1153
155	212	1147
156	212	1140
157	212	1134
158	213	1128
159	213	1122
160	214	1116
161	214	1110
162	215	1105
163	215	1099
164	216	1093
165	216	1087
166	216	1082
167	217	1076
168	217	1071
169	218	1066
170	218	1060
171	219	1055
172	219	1050
173	220	1046
174	221	1041
175	221	1037
176	222	1032
177	222	1028
178	223	1024
179	223	1019
180	224	1014
181	224	1009
182	225	1005
183	225	1001
184	226	996
185	226	992
186	227	988
187	227	983
188	228	979
189	228	975
190	229	971
191	229	967
192	230	963
193	230	959
194	231	955
195	231	950
196	232	947
197	233	943
198	233	940
199	234	936
200	234	932
201	235	929
202	235	925
203	236	922
204	236	918
205	237	914
206	237	911
207	238	907
208	238	904
209	239	900
210	239	897
211	240	893
212	240	890
213	241	886
214	241	883
215	242	880
216	243	877
217	243	873
218	244	870
219	244	867
220	245	864
221	245	860
222	246	857
223	246	854
224	247	852
225	247	848
226	248	845
227	248	842
228	249	839
229	250	836
230	250	833
231	251	831
232	251	828
233	252	825
234	252	822
235	253	819
236	253	817
237	254	814
