iter	Passed	Remaining
0	1	1685
1	2	1202
2	2	989
3	3	879
4	4	819
5	4	775
6	5	738
7	5	712
8	6	693
9	6	679
10	7	670
11	7	657
12	8	650
13	9	645
14	9	633
15	10	627
16	10	626
17	11	622
18	12	619
19	12	618
20	13	621
21	13	616
22	14	610
23	14	607
24	15	603
25	16	603
26	16	605
27	17	602
28	17	600
29	18	601
30	19	605
31	20	606
32	20	604
33	21	601
34	21	598
35	22	595
36	22	595
37	23	595
38	24	594
39	24	592
40	25	591
41	25	590
42	26	588
43	27	586
44	27	586
45	28	584
46	28	585
47	29	586
48	30	585
49	30	585
50	31	584
51	31	583
52	32	582
53	33	580
54	33	581
55	34	579
56	35	579
57	35	578
58	36	576
59	36	575
60	37	573
61	37	571
62	38	569
63	38	566
64	39	566
65	40	566
66	40	564
67	41	564
68	41	564
69	42	562
70	43	563
71	43	561
72	44	561
73	44	559
74	45	560
75	46	560
76	46	559
77	47	558
78	47	557
79	48	555
80	48	555
81	49	553
82	49	551
83	50	550
84	51	549
85	51	549
86	52	547
87	52	545
88	53	543
89	53	543
90	54	543
91	55	543
92	56	549
93	57	551
94	57	550
95	58	550
96	59	550
97	59	549
98	60	549
99	72	653
100	73	652
101	73	651
102	74	649
103	75	649
104	76	648
105	76	647
106	77	647
107	78	645
108	78	644
109	79	644
110	80	642
111	80	641
112	81	639
113	82	637
114	82	636
115	83	634
116	83	632
117	84	630
118	85	630
119	85	629
120	86	629
121	87	627
122	87	626
123	88	625
124	89	624
125	89	624
126	90	621
127	91	620
128	91	619
129	92	618
130	92	616
131	93	615
132	94	612
133	94	610
134	95	610
135	96	609
136	96	608
137	97	606
138	97	604
139	98	602
140	98	601
141	99	598
142	99	596
143	100	595
144	101	596
145	101	595
146	102	594
147	103	593
148	103	591
149	104	590
150	104	589
151	105	588
152	106	587
153	106	587
154	107	585
155	108	584
156	108	583
157	109	582
158	109	580
159	110	579
160	110	576
161	111	575
162	111	574
163	112	572
164	113	572
165	113	572
166	114	570
167	115	569
168	115	568
169	116	567
170	116	565
171	117	564
172	117	563
173	118	562
174	119	562
175	119	561
176	120	559
177	120	557
178	121	556
179	122	556
180	122	555
181	123	555
182	124	554
183	124	553
184	125	552
185	125	550
186	126	548
187	126	547
188	127	546
189	127	544
190	128	543
191	128	542
192	129	542
193	130	541
194	130	540
195	131	539
196	132	538
197	132	536
198	133	535
199	133	534
200	134	533
201	134	533
202	135	531
203	136	530
204	136	529
205	137	528
206	137	527
207	138	525
208	138	524
209	139	524
210	139	523
211	140	522
212	141	521
213	141	520
214	142	518
215	142	517
216	143	516
217	143	515
218	144	514
219	144	513
220	145	512
221	145	511
222	146	510
223	147	510
224	147	509
225	148	507
226	148	506
227	149	505
228	149	504
229	150	504
230	151	503
231	151	502
232	152	501
233	152	500
234	153	498
235	153	498
236	154	497
237	155	496
238	155	495
239	156	494
240	156	494
241	157	493
242	158	492
243	158	491
